seed	classification	layout_id	rank_cells	count	total	frequency
0	straight	mask_0b75	0,2,4,5,6,8,9,11	242	18815065	1.2862033694807857e-05
0	straight	mask_0b76	1,2,4,5,6,8,9,11	1425	18815065	7.5737181880583453e-05
0	straight	mask_0b79	0,3,4,5,6,8,9,11	22	18815065	1.1692757904370779e-06
0	straight	mask_0b7a	1,3,4,5,6,8,9,11	53	18815065	2.8168916769620515e-06
0	straight	mask_0b7c	2,3,4,5,6,8,9,11	107	18815065	5.6869322534894247e-06
0	straight	mask_0b8f	0,1,2,3,7,8,9,11	523	18815065	2.7796874472663264e-05
0	straight	mask_0b97	0,1,2,4,7,8,9,11	4	18815065	2.125955982612869e-07
0	straight	mask_0b9e	1,2,3,4,7,8,9,11	5	18815065	2.657444978266086e-07
0	straight	mask_0ba7	0,1,2,5,7,8,9,11	23	18815065	1.2224246900023996e-06
0	straight	mask_0bad	0,2,3,5,7,8,9,11	5	18815065	2.657444978266086e-07
0	straight	mask_0bae	1,2,3,5,7,8,9,11	3	18815065	1.5944669869596518e-07
0	straight	mask_0bb3	0,1,4,5,7,8,9,11	3	18815065	1.5944669869596518e-07
0	straight	mask_0bb5	0,2,4,5,7,8,9,11	9	18815065	4.7834009608789556e-07
0	straight	mask_0bb6	1,2,4,5,7,8,9,11	25	18815065	1.3287224891330431e-06
0	straight	mask_0bbc	2,3,4,5,7,8,9,11	4	18815065	2.125955982612869e-07
0	straight	mask_0bc7	0,1,2,6,7,8,9,11	92	18815065	4.8896987600095983e-06
0	straight	mask_0bcb	0,1,3,6,7,8,9,11	4	18815065	2.125955982612869e-07
0	straight	mask_0bcd	0,2,3,6,7,8,9,11	5	18815065	2.657444978266086e-07
0	straight	mask_0bce	1,2,3,6,7,8,9,11	45	18815065	2.3917004804394775e-06
0	straight	mask_0bd3	0,1,4,6,7,8,9,11	7	18815065	3.7204229695725206e-07
0	straight	mask_0bd5	0,2,4,6,7,8,9,11	5	18815065	2.657444978266086e-07
0	straight	mask_0bd6	1,2,4,6,7,8,9,11	19	18815065	1.0098290917411128e-06
0	straight	mask_0bda	1,3,4,6,7,8,9,11	7	18815065	3.7204229695725206e-07
0	straight	mask_0bdc	2,3,4,6,7,8,9,11	8	18815065	4.2519119652257381e-07
0	straight	mask_0be3	0,1,5,6,7,8,9,11	57	18815065	3.0294872752233385e-06
0	straight	mask_0be5	0,2,5,6,7,8,9,11	78	18815065	4.1456141660950944e-06
0	straight	mask_0be6	1,2,5,6,7,8,9,11	524	18815065	2.7850023372228584e-05
0	straight	mask_0be9	0,3,5,6,7,8,9,11	9	18815065	4.7834009608789556e-07
0	straight	mask_0bea	1,3,5,6,7,8,9,11	35	18815065	1.8602114847862604e-06
0	straight	mask_0bec	2,3,5,6,7,8,9,11	204	18815065	1.0842375511325631e-05
0	straight	mask_0bf1	0,4,5,6,7,8,9,11	53	18815065	2.8168916769620515e-06
0	straight	mask_0bf2	1,4,5,6,7,8,9,11	309	18815065	1.6423009965684414e-05
0	straight	mask_0bf4	2,4,5,6,7,8,9,11	1024	18815065	5.4424473154889448e-05
0	straight	mask_0bf8	3,4,5,6,7,8,9,11	47	18815065	2.4979982795701212e-06
0	straight	mask_0f0f	0,1,2,3,8,9,10,11	1	18815065	5.3148899565321726e-08
0	straight	mask_0f17	0,1,2,4,8,9,10,11	8	18815065	4.2519119652257381e-07
0	straight	mask_0f1b	0,1,3,4,8,9,10,11	2	18815065	1.0629779913064345e-07
0	straight	mask_0f1d	0,2,3,4,8,9,10,11	1	18815065	5.3148899565321726e-08
0	straight	mask_0f1e	1,2,3,4,8,9,10,11	4	18815065	2.125955982612869e-07
0	straight	mask_0f27	0,1,2,5,8,9,10,11	29	18815065	1.5413180873943301e-06
0	straight	mask_0f2b	0,1,3,5,8,9,10,11	1	18815065	5.3148899565321726e-08
0	straight	mask_0f2d	0,2,3,5,8,9,10,11	1	18815065	5.3148899565321726e-08
0	straight	mask_0f2e	1,2,3,5,8,9,10,11	16	18815065	8.5038239304514762e-07
0	straight	mask_0f33	0,1,4,5,8,9,10,11	785	18815065	4.1721886158777552e-05
0	straight	mask_0f35	0,2,4,5,8,9,10,11	57	18815065	3.0294872752233385e-06
0	straight	mask_0f36	1,2,4,5,8,9,10,11	181	18815065	9.6199508213232316e-06
0	straight	mask_0f39	0,3,4,5,8,9,10,11	7	18815065	3.7204229695725206e-07
0	straight	mask_0f3a	1,3,4,5,8,9,10,11	23	18815065	1.2224246900023996e-06
0	straight	mask_0f3c	2,3,4,5,8,9,10,11	22	18815065	1.1692757904370779e-06
0	straight	mask_0f53	0,1,4,6,8,9,10,11	22	18815065	1.1692757904370779e-06
0	straight	mask_0f55	0,2,4,6,8,9,10,11	15	18815065	7.9723349347982587e-07
0	straight	mask_0f56	1,2,4,6,8,9,10,11	42	18815065	2.2322537817435125e-06
0	straight	mask_0f59	0,3,4,6,8,9,10,11	2	18815065	1.0629779913064345e-07
0	straight	mask_0f5a	1,3,4,6,8,9,10,11	19	18815065	1.0098290917411128e-06
0	straight	mask_0f5c	2,3,4,6,8,9,10,11	14	18815065	7.4408459391450411e-07
0	straight	mask_0f63	0,1,5,6,8,9,10,11	452	18815065	2.4023302603525418e-05
0	straight	mask_0f65	0,2,5,6,8,9,10,11	136	18815065	7.228250340883755e-06
0	straight	mask_0f66	1,2,5,6,8,9,10,11	814	18815065	4.3263204246171885e-05
0	straight	mask_0f69	0,3,5,6,8,9,10,11	7	18815065	3.7204229695725206e-07
0	straight	mask_0f71	0,4,5,6,8,9,10,11	608	18815065	3.2314530935715609e-05
0	straight	mask_0f72	1,4,5,6,8,9,10,11	2157	18815065	0.00011464217636239896
0	straight	mask_0f74	2,4,5,6,8,9,10,11	1368	18815065	7.2707694605360121e-05
0	straight	mask_0f78	3,4,5,6,8,9,10,11	265	18815065	1.4084458384810257e-05
0	straight	mask_0f93	0,1,4,7,8,9,10,11	4	18815065	2.125955982612869e-07
0	straight	mask_0f95	0,2,4,7,8,9,10,11	1	18815065	5.3148899565321726e-08
0	straight	mask_0f96	1,2,4,7,8,9,10,11	2	18815065	1.0629779913064345e-07
0	straight	mask_0fb1	0,4,5,7,8,9,10,11	19	18815065	1.0098290917411128e-06
0	straight	mask_0fb2	1,4,5,7,8,9,10,11	118	18815065	6.2715701487079636e-06
0	straight	mask_0fb4	2,4,5,7,8,9,10,11	49	18815065	2.6042960787007645e-06
0	straight	mask_0fb8	3,4,5,7,8,9,10,11	19	18815065	1.0098290917411128e-06
0	straight	mask_0ff0	4,5,6,7,8,9,10,11	1135	18815065	6.0324001006640159e-05
0	straight	mask_107f	0,1,2,3,4,5,6,12	113633	18815065	0.0060394689043062038
0	straight	mask_10bf	0,1,2,3,4,5,7,12	9945	18815065	0.00052856580617712456
0	straight	mask_10df	0,1,2,3,4,6,7,12	2130	18815065	0.00011320715607413528
0	straight	mask_10ef	0,1,2,3,5,6,7,12	51842	18815065	0.0027553452512654088
0	straight	mask_10f7	0,1,2,4,5,6,7,12	1815	18815065	9.6465252711058926e-05
0	straight	mask_10fb	0,1,3,4,5,6,7,12	109	18815065	5.793230052620068e-06
0	straight	mask_10fd	0,2,3,4,5,6,7,12	92	18815065	4.8896987600095983e-06
0	straight	mask_10fe	1,2,3,4,5,6,7,12	954	18815065	5.0704050185316929e-05
0	straight	mask_113f	0,1,2,3,4,5,8,12	93218	18815065	0.0049544341196801605
0	straight	mask_115f	0,1,2,3,4,6,8,12	30440	18815065	0.0016178525027683932
0	straight	mask_116f	0,1,2,3,5,6,8,12	17072	18815065	0.00090735801337917248
0	straight	mask_117b	0,1,3,4,5,6,8,12	86087	18815065	0.0045754293168798511
0	straight	mask_117d	0,2,3,4,5,6,8,12	5652	18815065	0.0003003975803431984
0	straight	mask_117e	1,2,3,4,5,6,8,12	5845	18815065	0.00031065531795930549
0	straight	mask_119f	0,1,2,3,4,7,8,12	3561	18815065	0.00018926323135211065
0	straight	mask_11af	0,1,2,3,5,7,8,12	6877	18815065	0.00036550498231071753
0	straight	mask_11b7	0,1,2,4,5,7,8,12	33394	18815065	0.0017748543520843536
0	straight	mask_11bb	0,1,3,4,5,7,8,12	100	18815065	5.3148899565321723e-06
0	straight	mask_11bd	0,2,3,4,5,7,8,12	264	18815065	1.4031309485244935e-05
0	straight	mask_11be	1,2,3,4,5,7,8,12	249	18815065	1.3234075991765109e-05
0	straight	mask_11cf	0,1,2,3,6,7,8,12	4008	18815065	0.00021302078945780947
0	straight	mask_11d7	0,1,2,4,6,7,8,12	7753	18815065	0.00041206341832993932
0	straight	mask_11db	0,1,3,4,6,7,8,12	2632	18815065	0.00013988790365592678
0	straight	mask_11dd	0,2,3,4,6,7,8,12	5	18815065	2.657444978266086e-07
0	straight	mask_11de	1,2,3,4,6,7,8,12	152	18815065	8.0786327339289022e-06
0	straight	mask_11e7	0,1,2,5,6,7,8,12	2082	18815065	0.00011065600889499983
0	straight	mask_11eb	0,1,3,5,6,7,8,12	174	18815065	9.2479085243659801e-06
0	straight	mask_11ed	0,2,3,5,6,7,8,12	137	18815065	7.2813992404490766e-06
0	straight	mask_11ee	1,2,3,5,6,7,8,12	328	18815065	1.7432839057425527e-05
0	straight	mask_11f3	0,1,4,5,6,7,8,12	24831	18815065	0.0013197403251065038
0	straight	mask_11f5	0,2,4,5,6,7,8,12	2219	18815065	0.00011793740813544891
0	straight	mask_11f6	1,2,4,5,6,7,8,12	1677	18815065	8.9130704571044529e-05
0	straight	mask_11f9	0,3,4,5,6,7,8,12	162	18815065	8.6101217295821186e-06
0	straight	mask_11fa	1,3,4,5,6,7,8,12	186	18815065	9.8856953191498415e-06
0	straight	mask_11fc	2,3,4,5,6,7,8,12	48	18815065	2.5511471791354429e-06
0	straight	mask_125f	0,1,2,3,4,6,9,12	17510	18815065	0.00093063723138878335
0	straight	mask_126f	0,1,2,3,5,6,9,12	15252	18815065	0.00081062701617028697
0	straight	mask_127b	0,1,3,4,5,6,9,12	456	18815065	2.4235898201786708e-05
